variant,category,model,n,flip_rate,flip_ci_low,flip_ci_high,cohens_d,d_ci_low,d_ci_high,p_value,q_value_bh
low_income_black,Race x socioeconomic,llama-3.3-70B,1048,0.1613,0.1396,0.1855,0.3232,0.3109,0.4544,0.0,0.0
low_income_black,Race x socioeconomic,llama-3.1-8B,1048,0.1826,0.1591,0.2087,0.2575,0.2036,0.3289,0.0,0.0
low_income_black,Race x socioeconomic,gpt-4o,1048,0.1026,0.0853,0.1229,0.6465,0.7644,0.9226,0.0,0.0
low_income_black,Race x socioeconomic,gpt-4o-mini,1048,0.2316,0.2061,0.2593,0.0568,-0.0028,0.0868,0.0752,0.16775
gay_male_patient,Gender/identity,gemini-2.5-flash,1048,0.2045,0.1804,0.2308,0.012,-0.0503,0.0751,0.70302,0.8353
gay_male_patient,Gender/identity,deepseek-chat,1048,0.1223,0.1034,0.144,-0.0026,-0.0688,0.0631,0.91369,0.91369
gay_male_patient,Gender/identity,llama-3.3-70B,1048,0.1524,0.1313,0.1762,-0.026,-0.0826,0.033,0.40224,0.48604
gay_male_patient,Gender/identity,llama-3.1-8B,1048,0.1882,0.1644,0.2146,0.0389,-0.0186,0.0854,0.20178,0.20899
gay_male_patient,Gender/identity,gpt-4o,1048,0.1123,0.0943,0.1333,0.0297,-0.0278,0.0812,0.29268,0.39464
gay_male_patient,Gender/identity,gpt-4o-mini,1048,0.2296,0.2042,0.2571,0.0151,-0.0318,0.0528,0.60866,0.76744
non_binary_patient,Gender/identity,gemini-2.5-flash,1048,0.1982,0.1744,0.2243,0.0449,-0.0167,0.1121,0.11634,0.17757
non_binary_patient,Gender/identity,deepseek-chat,1048,0.1279,0.1086,0.15,0.0237,-0.0415,0.095,0.33537,0.54031
non_binary_patient,Gender/identity,llama-3.3-70B,1048,0.1408,0.1204,0.164,-0.0338,-0.0907,0.0258,0.24375,0.37204
non_binary_patient,Gender/identity,llama-3.1-8B,1048,0.1868,0.1632,0.213,0.1324,0.0647,0.1739,2e-05,5e-05
non_binary_patient,Gender/identity,gpt-4o,1048,0.1245,0.1055,0.1464,0.0165,-0.0408,0.0713,0.55149,0.63973
non_binary_patient,Gender/identity,gpt-4o-mini,1048,0.2312,0.2057,0.2587,-0.0319,-0.0637,0.0198,0.30398,0.46396
transgender_woman,Gender/identity,gemini-2.5-flash,1048,0.2039,0.1798,0.2304,-0.0079,-0.0742,0.057,0.74776,0.8353
transgender_woman,Gender/identity,deepseek-chat,1048,0.1205,0.1018,0.1421,0.024,-0.0408,0.0942,0.48491,0.66964
transgender_woman,Gender/identity,llama-3.3-70B,1048,0.1491,0.1282,0.1727,0.0338,-0.0272,0.0959,0.35872,0.45229
transgender_woman,Gender/identity,llama-3.1-8B,1048,0.1617,0.1396,0.1866,0.0881,0.0244,0.1321,0.00562,0.0074
transgender_woman,Gender/identity,gpt-4o,1048,0.1215,0.1027,0.1432,0.0263,-0.0323,0.0819,0.40685,0.51299
transgender_woman,Gender/identity,gpt-4o-mini,1048,0.2381,0.2123,0.266,-0.0308,-0.0651,0.0212,0.34037,0.49354
