model,variant,n,partial_concordance_mean,paired_delta_vs_reference,paired_ci_low,paired_ci_high,paired_p_value_wilcoxon
gpt-4o-mini,medicaid_only,986,0.7576,-0.0031,-0.02,0.0138,0.6481650053245188
gpt-4o-mini,medicare_advantage_only,987,0.7644,0.0046,-0.0116,0.0209,0.5888967806230221
gpt-4o-mini,medicare_only,980,0.7561,-0.0057,-0.0221,0.0107,0.48764700717917364
gpt-4o-mini,middle_eastern_race_only,983,0.7584,-0.0026,-0.0192,0.014,0.7199261022875758
gpt-4o-mini,multiracial_race_only,984,0.7571,-0.0015,-0.0176,0.0145,0.7999200996708646
gpt-4o-mini,native_american_race_only,981,0.7661,0.0047,-0.0121,0.0215,0.6013021595852464
gpt-4o-mini,non_binary_patient,991,0.7603,0.0015,-0.0156,0.0187,0.8421262320457277
gpt-4o-mini,rural_patient,979,0.7564,-0.0078,-0.0245,0.0089,0.323587110045626
gpt-4o-mini,small_community_hospital,986,0.7622,0.0015,-0.015,0.0181,0.8741446284930043
gpt-4o-mini,transgender_woman,987,0.7497,-0.0093,-0.0267,0.0081,0.28335419724124744
gpt-4o-mini,underinsured_only,984,0.7617,-0.001,-0.0179,0.0158,0.8187617386458691
gpt-4o-mini,unhoused_patient,980,0.7622,0.0005,-0.0163,0.0173,0.8894602538894493
gpt-4o-mini,uninsured_only,972,0.7551,-0.0063,-0.0227,0.0102,0.4643470325510235
gpt-4o-mini,white_female_medicaid,981,0.7655,0.0041,-0.0116,0.0199,0.6427279415168901
gpt-4o-mini,white_male_private,982,0.7576,-0.0026,-0.0185,0.0134,0.6581557206956529
